"kind","name","parent","detail"
"export","ferx_search_results","",""
"argument","directory","ferx_search_results",""
"argument","partial","ferx_search_results",""
"argument","type","ferx_search_results",""
"export","ferx_search_space","",""
"argument","mfl","ferx_search_space",""
"argument","model","ferx_search_space",""
"argument","data","ferx_search_space",""
"export","ferx_simulate","",""
"argument","model","ferx_simulate",""
"argument","data","ferx_simulate",""
"argument","n_sim","ferx_simulate",""
"argument","seed","ferx_simulate",""
"argument","fit","ferx_simulate",""
"argument","match","ferx_simulate",""
"argument","horizon","ferx_simulate",""
"export","ferx_simulate_adaptive","",""
"argument","model","ferx_simulate_adaptive",""
"argument","data","ferx_simulate_adaptive",""
"argument","n_sim","ferx_simulate_adaptive",""
"argument","seed","ferx_simulate_adaptive",""
"argument","verify","ferx_simulate_adaptive",""
"argument","max_decisions","ferx_simulate_adaptive",""
"export","ferx_simulate_with_uncertainty","",""
"argument","model","ferx_simulate_with_uncertainty",""
"argument","data","ferx_simulate_with_uncertainty",""
"argument","fit","ferx_simulate_with_uncertainty",""
"argument","n_uncertainty_draws","ferx_simulate_with_uncertainty",""
"argument","n_sim_per_draw","ferx_simulate_with_uncertainty",""
"argument","method","ferx_simulate_with_uncertainty",""
"argument","seed","ferx_simulate_with_uncertainty",""
"export","ferx_sir","",""
"argument","fit","ferx_sir",""
"argument","sir_samples","ferx_sir",""
"argument","sir_resamples","ferx_sir",""
"argument","sir_seed","ferx_sir",""
"argument","sir_keep_samples","ferx_sir",""
"argument","verbose","ferx_sir",""
"export","ferx_stop","",""
"argument","handle","ferx_stop",""
"export","ferx_trace","",""
"argument","fit","ferx_trace",""
"export","ferx_xpose","",""
"argument","fit","ferx_xpose",""
"argument","backend","ferx_xpose",""
"argument","continuous","ferx_xpose",""
"argument","categorical","ferx_xpose",""
"argument","runno","ferx_xpose",""
"argument","iterations","ferx_xpose",""
"s3method","$.ferx_job","$","ferx_job"
"s3method","plot.ferx_bootstrap","plot","ferx_bootstrap"
"s3method","plot.ferx_fit","plot","ferx_fit"
"s3method","plot.ferx_job","plot","ferx_job"
"s3method","print.ferx_allometry","print","ferx_allometry"
"s3method","print.ferx_bootstrap","print","ferx_bootstrap"
"s3method","print.ferx_conddist","print","ferx_conddist"
"s3method","print.ferx_covsearch","print","ferx_covsearch"
"s3method","print.ferx_data","print","ferx_data"
"s3method","print.ferx_fit","print","ferx_fit"
"s3method","print.ferx_inits","print","ferx_inits"
"s3method","print.ferx_job","print","ferx_job"
"s3method","print.ferx_model","print","ferx_model"
"s3method","print.ferx_modelsearch","print","ferx_modelsearch"
"s3method","print.ferx_ruvsearch","print","ferx_ruvsearch"
"s3method","print.ferx_search_config","print","ferx_search_config"
"s3method","print.ferx_search_space","print","ferx_search_space"
"s3method","print.ferx_summary","print","ferx_summary"
"s3method","summary.ferx_covsearch","summary","ferx_covsearch"
"s3method","summary.ferx_fit","summary","ferx_fit"
"s3method","summary.ferx_modelsearch","summary","ferx_modelsearch"
"s3method","summary.ferx_ruvsearch","summary","ferx_ruvsearch"
"example","adaptive_tdm","",""
"example","adaptive_vanco_loading","",""
"example","binary_logistic","",""
"example","bioavailability","",""
"example","bioavailability_ode","",""
"example","biphasic_igd_absorption","",""
"example","emax_pkpd","",""
"example","emax_timecourse","",""
"example","igd_inverse_gaussian","",""
"example","infusion_absorption","",""
"example","mixed_absorption","",""
"example","mm_multistart","",""
"example","mm_oral","",""
"example","one_cpt_ig","",""
"example","one_cpt_iv","",""
"example","one_cpt_iv_ode","",""
"example","one_cpt_iv_pooled","",""
"example","one_cpt_transit","",""
"example","one_cpt_transit_iov","",""
"example","parallel_absorption","",""
"example","per_route_lag_absorption","",""
"example","pktte_joint","",""
"example","sequential_absorption","",""
"example","ss_absorption","",""
"example","three_cpt_iv","",""
"example","three_cpt_iv_ode","",""
"example","three_cpt_oral","",""
"example","three_cpt_oral_ode","",""
"example","transit_2cpt","",""
"example","transit_savic","",""
"example","tte_competing_risks","",""
"example","tte_exponential","",""
"example","tte_gompertz","",""
"example","tte_weibull","",""
"example","two_cpt_ig","",""
"example","two_cpt_iv","",""
"example","two_cpt_iv_ode","",""
"example","two_cpt_oral_base","",""
"example","two_cpt_oral_cov","",""
"example","two_cpt_oral_cov_ode","",""
"example","two_cpt_oral_cov_ode_template","",""
"example","two_cpt_oral_derived","",""
"example","two_cpt_transit","",""
"example","warfarin","",""
"example","warfarin_additive_eta","",""
"example","warfarin_addl","",""
"example","warfarin_block_omega","",""
"example","warfarin_bloq","",""
"example","warfarin_data_selection","",""
"example","warfarin_dcm","",""
"example","warfarin_derived","",""
"example","warfarin_derived_pkpd","",""
"example","warfarin_if","",""
"example","warfarin_iov","",""
"example","warfarin_iov_saem","",""
