"kind","name","parent","home"
"argument","resume","ferx_ruvsearch","09-model-selection"
"argument","progress","ferx_ruvsearch","09-model-selection"
"export","ferx_save_fit","","13-reproducibility"
"argument","fit","ferx_save_fit","13-reproducibility"
"argument","output","ferx_save_fit","13-reproducibility"
"argument","include_data","ferx_save_fit","13-reproducibility"
"export","ferx_se","","05-first-fit"
"argument","fit","ferx_se","05-first-fit"
"argument","param","ferx_se","05-first-fit"
"export","ferx_search_config","","09-model-selection"
"argument","path","ferx_search_config","09-model-selection"
"export","ferx_search_coverage","","09-model-selection"
"argument","space","ferx_search_coverage","09-model-selection"
"export","ferx_search_results","","09-model-selection"
"argument","directory","ferx_search_results","09-model-selection"
"argument","partial","ferx_search_results","09-model-selection"
"argument","type","ferx_search_results","09-model-selection"
"export","ferx_search_space","","09-model-selection"
"argument","mfl","ferx_search_space","09-model-selection"
"argument","model","ferx_search_space","09-model-selection"
"argument","data","ferx_search_space","09-model-selection"
"export","ferx_simulate","","08-vpc"
"argument","model","ferx_simulate","08-vpc"
"argument","data","ferx_simulate","08-vpc"
"argument","n_sim","ferx_simulate","08-vpc"
"argument","seed","ferx_simulate","08-vpc"
"argument","fit","ferx_simulate","08-vpc"
"argument","match","ferx_simulate","11-simulation"
"argument","horizon","ferx_simulate","22-time-to-event"
"export","ferx_simulate_adaptive","","23-adaptive-dosing"
"argument","model","ferx_simulate_adaptive","23-adaptive-dosing"
"argument","data","ferx_simulate_adaptive","23-adaptive-dosing"
"argument","n_sim","ferx_simulate_adaptive","23-adaptive-dosing"
"argument","seed","ferx_simulate_adaptive","23-adaptive-dosing"
"argument","verify","ferx_simulate_adaptive","23-adaptive-dosing"
"argument","max_decisions","ferx_simulate_adaptive","23-adaptive-dosing"
"export","ferx_simulate_with_uncertainty","","11-simulation"
"argument","model","ferx_simulate_with_uncertainty","11-simulation"
"argument","data","ferx_simulate_with_uncertainty","11-simulation"
"argument","fit","ferx_simulate_with_uncertainty","11-simulation"
"argument","n_uncertainty_draws","ferx_simulate_with_uncertainty","11-simulation"
"argument","n_sim_per_draw","ferx_simulate_with_uncertainty","11-simulation"
"argument","method","ferx_simulate_with_uncertainty","11-simulation"
"argument","seed","ferx_simulate_with_uncertainty","11-simulation"
"export","ferx_sir","","10-uncertainty"
"argument","fit","ferx_sir","10-uncertainty"
"argument","sir_samples","ferx_sir","10-uncertainty"
"argument","sir_resamples","ferx_sir","10-uncertainty"
"argument","sir_seed","ferx_sir","10-uncertainty"
"argument","sir_keep_samples","ferx_sir","10-uncertainty"
"argument","verbose","ferx_sir","10-uncertainty"
"export","ferx_stop","","06-estimation-methods"
"argument","handle","ferx_stop","06-estimation-methods"
"export","ferx_trace","","06-estimation-methods"
"argument","fit","ferx_trace","06-estimation-methods"
"export","ferx_xpose","","07-diagnostics"
"argument","fit","ferx_xpose","07-diagnostics"
"argument","backend","ferx_xpose","07-diagnostics"
"argument","continuous","ferx_xpose","07-diagnostics"
"argument","categorical","ferx_xpose","07-diagnostics"
"argument","runno","ferx_xpose","07-diagnostics"
"argument","iterations","ferx_xpose","07-diagnostics"
"s3method","$.ferx_job","$","06-estimation-methods"
"s3method","plot.ferx_bootstrap","plot","10-uncertainty"
"s3method","plot.ferx_fit","plot","06-estimation-methods"
"s3method","plot.ferx_job","plot","06-estimation-methods"
"s3method","print.ferx_allometry","print","17-covariates"
"s3method","print.ferx_amd","print","09-model-selection"
"s3method","print.ferx_bootstrap","print","10-uncertainty"
"s3method","print.ferx_conddist","print","06-estimation-methods"
"s3method","print.ferx_covsearch","print","09-model-selection"
"s3method","print.ferx_data","print","03-data"
"s3method","print.ferx_fit","print","05-first-fit"
"s3method","print.ferx_globalsearch","print","09-model-selection"
"s3method","print.ferx_iivsearch","print","09-model-selection"
"s3method","print.ferx_inits","print","05-first-fit"
"s3method","print.ferx_iovsearch","print","09-model-selection"
"s3method","print.ferx_job","print","06-estimation-methods"
"s3method","print.ferx_model","print","04-model-files"
"s3method","print.ferx_modelsearch","print","09-model-selection"
"s3method","print.ferx_ruvsearch","print","09-model-selection"
"s3method","print.ferx_search_config","print","09-model-selection"
"s3method","print.ferx_search_space","print","09-model-selection"
"s3method","print.ferx_summary","print","05-first-fit"
"s3method","summary.ferx_amd","summary","09-model-selection"
"s3method","summary.ferx_covsearch","summary","09-model-selection"
"s3method","summary.ferx_fit","summary","05-first-fit"
"s3method","summary.ferx_globalsearch","summary","09-model-selection"
"s3method","summary.ferx_iivsearch","summary","09-model-selection"
"s3method","summary.ferx_iovsearch","summary","09-model-selection"
"s3method","summary.ferx_modelsearch","summary","09-model-selection"
"s3method","summary.ferx_ruvsearch","summary","09-model-selection"
"example","adaptive_tdm","","23-adaptive-dosing"
"example","adaptive_vanco_loading","","23-adaptive-dosing"
"example","binary_logistic","","21-binary"
"example","bioavailability_ode","","15-absorption"
"example","bioavailability","","15-absorption"
"example","biphasic_igd_absorption","","15-absorption"
"example","emax_pkpd","","20-pkpd"
"example","emax_timecourse","","20-pkpd"
"example","igd_inverse_gaussian","","15-absorption"
"example","infusion_absorption","","18-dosing"
"example","mixed_absorption","","15-absorption"
"example","mm_multistart","","06-estimation-methods"
"example","mm_oral","","14-structural-models"
"example","one_cpt_ig","","15-absorption"
"example","one_cpt_iv_ode","","14-structural-models"
"example","one_cpt_iv_pooled","","14-structural-models"
"example","one_cpt_iv","","14-structural-models"
"example","one_cpt_transit_iov","","16-variability"
"example","one_cpt_transit","","15-absorption"
"example","parallel_absorption","","15-absorption"
"example","per_route_lag_absorption","","15-absorption"
"example","pktte_joint","","22-time-to-event"
"example","sequential_absorption","","15-absorption"
"example","ss_absorption","","18-dosing"
"example","three_cpt_iv_ode","","14-structural-models"
"example","three_cpt_iv","","14-structural-models"
"example","three_cpt_oral_ode","","14-structural-models"
"example","three_cpt_oral","","14-structural-models"
"example","transit_2cpt","","15-absorption"
"example","transit_savic","","15-absorption"
"example","tte_competing_risks","","22-time-to-event"
"example","tte_exponential","","22-time-to-event"
"example","tte_gompertz","","22-time-to-event"
"example","tte_weibull","","22-time-to-event"
"example","two_cpt_ig","","15-absorption"
"example","two_cpt_iv_ode","","14-structural-models"
"example","two_cpt_iv","","14-structural-models"
"example","two_cpt_oral_base","","04-model-files"
"example","two_cpt_oral_cov_ode_template","","14-structural-models"
"example","two_cpt_oral_cov_ode","","14-structural-models"
"example","two_cpt_oral_cov","","03-data"
"example","two_cpt_oral_derived","","12-tables-figures"
"example","two_cpt_oral_global","","09-model-selection"
"example","two_cpt_transit","","15-absorption"
"example","warfarin_additive_eta","","16-variability"
"example","warfarin_addl","","18-dosing"
"example","warfarin_amd","","09-model-selection"
"example","warfarin_block_omega","","16-variability"
"example","warfarin_bloq","","19-censoring"
"example","warfarin_data_selection","","03-data"
"example","warfarin_dcm","","24-experimental"
"example","warfarin_derived_pkpd","","20-pkpd"
"example","warfarin_derived","","18-dosing"
"example","warfarin_if","","17-covariates"
"example","warfarin_iov_saem","","16-variability"
"example","warfarin_iov","","16-variability"
"example","warfarin_logit_f","","15-absorption"
"example","warfarin_ltbs","","16-variability"
"example","warfarin_ode_lagtime","","15-absorption"
"example","warfarin_ode_time","","14-structural-models"
